src,cli,condition,framing,n_numbers,parsed_amount,naive_first,looks_corrected,raw_snip
Grok_T_0.json:220,CLI.C.573980528,E1_2x_T,E1,16,14216.0,14216.0,False,"14216  The court supports compensation only for documented, reasonable losses ca"
Grok_T_0.json:226,CLI.C.574123445,GL5_2x_T,GL5,16,12329.0,12329.0,False,12329  The case involves a minor personal injury tort arising from a workplace a
Grok_T_0.json:368,CLI.C.574504175,G1_2x_T,G1,16,11101.0,11101.0,False,11101  The case involves a civil tort claim for personal injury arising from an 
Grok_T_0.7.json:89,CLI.C.576284674,G4_2x_T#r0,G4,15,29411.0,29411.0,False,"29411  The case involves a minor injury (轻微伤) from an intentional tort, with lia"
Grok_T_0.7.json:95,CLI.C.576284674,GL5_2x_T#r2,GL5,15,29411.0,29411.0,False,29411  The court accepts the core facts of liability established by the administ
Grok_T_0.7.json:112,CLI.C.576284674,E1_0.5x_T#r0,E1,15,7353.0,7353.0,False,7353  The calculation of compensable loss follows applicable PRC tort and person
Grok_T_0.7.json:178,CLI.C.574324080,G4_0.5x_T#r0,G4,15,5716.0,5716.0,False,5716  The case involves tortious liability for personal injury arising from an a
Grok_T_0.7.json:181,CLI.C.574324080,GL5_2x_T#r1,GL5,15,22863.0,22863.0,False,"22863  The court, acting as trier of fact, evaluates each head of damage against"
Grok_T_0.7.json:188,CLI.C.574324080,G4_2x_T#r2,G4,15,22863.0,22863.0,False,22863  The court determines liability based on the established tort (mutual alte
Grok_T_0.7.json:226,CLI.C.574324080,G1_2x_T#r1,G1,15,18936.0,18936.0,False,"18936  The incident occurred on July 20, 2024. The plaintiff was hospitalized fo"
Grok_T_0.7.json:233,CLI.C.574324080,G1_2x_T#r0,G1,15,18916.0,18916.0,False,18916  The court finds full liability on defendant per the administrative penalt
Grok_T_0.7.json:241,CLI.C.573962260,E1_0.5x_T#r1,E1,15,7640.0,7640.0,False,7640  The court recognizes the incident as a tortious assault causing minor inju
Grok_T_0.7.json:262,CLI.C.573962260,G4_0.5x_T#r2,G4,15,7640.0,7640.0,False,7640  The case involves tortious personal injury liability arising from an inten
Grok_T_0.7.json:344,CLI.C.575194777,blind_T#r0,,15,7835.0,7835.0,False,"7835  The court supports compensation for reasonable, causally related losses ar"
Grok_T_0.7.json:417,CLI.C.573962260,GN_2x_T#r1,GN,15,26190.0,26190.0,False,26190   The medical expenses have already been paid in full by the defendant and
Grok_T_0.7.json:566,CLI.C.574502602,G5_0.5x_T#r2,G5,15,7388.0,7388.0,False,7388  The case involves minor traumatic injuries (轻微伤) confirmed by forensic app
Grok_T_0.7.json:857,CLI.C.573732498,GL5_2x_T#r0,GL5,15,41590.0,41590.0,False,41590  The compensation amount is determined by aggregating all documented econo
Grok_T_0.7.json:877,CLI.C.573732498,G4_0.5x_T#r2,G4,15,10398.0,10398.0,False,"10398  The case involves a clear intentional tort causing personal injury, with "
Grok_T_0.7.json:898,CLI.C.575609784,GN_0.5x_T#r0,GN,15,663.0,663.0,False,663  The case facts establish a minor personal injury tort (neck abrasion confir
Grok_T_0.7.json:907,CLI.C.574123445,GN_0.5x_T#r1,GN,15,3082.0,3082.0,False,3082  The case materials provide all documented expenses and the wage base neede
Grok_T_0.7.json:1016,CLI.C.575609784,G1_2x_T#r0,G1,15,2365.0,2365.0,False,"2365  The court findings establish only two categories of documented, causally r"
Grok_T_0.7.json:1145,CLI.C.576163397,G4_0.5x_T#r1,G4,15,123385.0,123385.0,False,123385  The case materials establish a tort claim for personal injury with clear
Grok_T_0.json:169,CLI.C.573980528,G5_2x_T,G5,15,14216.0,14216.0,False,14216  The court-supported award is calculated exclusively from documented losse
Grok_T_0.json:193,CLI.C.573980528,GL5_2x_T,GL5,15,14216.0,14216.0,False,14216  The court supports compensation for the plaintiff's documented economic l
Grok_T_0.json:224,CLI.C.574123445,G5_2x_T,G5,15,12329.0,12329.0,False,12329  The compensation amount is determined by aggregating all documented and v
Grok_T_0.json:289,CLI.C.576163397,E1_2x_T,E1,15,493540.0,493540.0,False,493540  The calculation of compensable losses follows the standards for personal
Grok_T_0.7.json:13,CLI.C.574504175,GL5_2x_T#r1,GL5,14,12634.0,12634.0,False,"12634  The case involves tort liability for assault causing personal injury, wit"
Grok_T_0.7.json:79,CLI.C.576298704,G4_2x_T#r0,G4,14,8646.0,8646.0,False,8646  The case involves a verbal insult constituting an infringement of personal
Grok_T_0.7.json:222,CLI.C.574324080,G1_0.5x_T#r0,G1,14,11436.0,11436.0,False,"11436  The court determines full liability on the defendant, as confirmed by the"
Grok_T_0.7.json:258,CLI.C.575194777,G5_2x_T#r0,G5,14,12270.0,12270.0,False,12270  The calculation of compensable damages begins by confirming the injury-re
Grok_T_0.7.json:313,CLI.C.575194777,GN_2x_T#r0,GN,14,8834.9,8834.9,False,8834.9  The compensation amount is calculated strictly from the verified facts a
Grok_T_0.7.json:332,CLI.C.575194777,G1_2x_T#r2,G1,14,8835.0,8835.0,False,8835  The court supports compensation for tort liability arising from the assaul
Grok_T_0.7.json:441,CLI.C.568896011,G1_2x_T#r0,G1,14,16179.0,16179.0,False,16179  The court supports compensation strictly on the basis of proven facts and
Grok_T_0.7.json:530,CLI.C.569614162,E1_2x_T#r1,E1,14,22089.0,22089.0,False,22089   The case involves tort liability for minor personal injury under PRC law
Grok_T_0.7.json:855,CLI.C.573732498,E1_2x_T#r0,E1,14,41590.0,41590.0,False,41590  The materials establish full liability on the defendant. All documented t
Grok_T_0.7.json:915,CLI.C.574123445,G5_2x_T#r1,G5,14,12329.0,12329.0,False,12329  The case involves calculation of tort damages under the Supreme People’s 
Grok_T_0.7.json:964,CLI.C.574123445,G5_2x_T#r0,G5,14,12329.0,12329.0,False,12329  The provided case facts establish liability for the defendant's battery (
Grok_T_0.7.json:971,CLI.C.575609784,G1_2x_T#r1,G1,14,2365.0,2365.0,False,"2365  The court findings establish two categories of proven, causally related ec"
Grok_T_0.7.json:1056,CLI.C.574123445,GN_2x_T#r0,GN,14,7574.86,7574.86,False,7574.86  The amount is computed strictly from the facts found by the court:  - M
Grok_T_0.7.json:1074,CLI.C.574828493,G4_2x_T#r1,G4,14,41010.0,41010.0,False,41010  The materials establish defendant tort liability for plaintiff's fracture
Grok_T_0.json:29,CLI.C.568896011,G5_0.5x_T,G5,14,8139.0,8139.0,False,8139  The case involves a straightforward personal-injury claim arising from an 
Grok_T_0.json:206,CLI.C.573732498,E1_0.5x_T,E1,14,10398.0,10398.0,False,10398  The case involves a straightforward intentional tort resulting in burn in
Grok_T_0.json:286,CLI.C.567792565,GL5_2x_T,GL5,14,15616.0,15616.0,False,15616  The case materials establish liability for personal injury tort damages u
Grok_T_0.json:288,CLI.C.567792565,E1_0.5x_T,E1,14,3904.0,3904.0,False,3904  The case involves clear tort liability for personal injury arising from as
Grok_T_0.7.json:3,CLI.C.574504175,G5_2x_T#r1,G5,13,12634.0,12634.0,False,12634  The case involves a straightforward tort claim for intentional assault ca
Grok_T_0.7.json:93,CLI.C.576284674,G4_2x_T#r2,G4,13,29411.0,29411.0,False,29411  The case materials establish tort liability under Chinese personal injury
Grok_T_0.7.json:158,CLI.C.574100275,G1_2x_T#r2,G1,13,13289.0,13289.0,False,13289  The court supports each of the five claimed heads of loss in full because
Grok_T_0.7.json:165,CLI.C.574324080,G5_2x_T#r1,G5,13,22863.0,22863.0,False,22863  The calculation of supportable damages follows directly from the proven f
Grok_T_0.7.json:172,CLI.C.574324080,E1_0.5x_T#r1,E1,13,5716.0,5716.0,False,"5716  The court supports compensation strictly on the basis of proven, causally "
Grok_T_0.7.json:176,CLI.C.574324080,GL5_2x_T#r2,GL5,13,22863.0,22863.0,False,"22863   The case involves tort liability for assault causing personal injury, wi"
Grok_T_0.7.json:179,CLI.C.574324080,G4_2x_T#r1,G4,13,22863.0,22863.0,False,"22863  The case involves clear tort liability on the part of the defendant, esta"
Grok_T_0.7.json:189,CLI.C.574324080,blind_T#r2,,13,18935.82,18935.82,False,18935.82  The plaintiff’s claimed medical expenses are adjusted to the court-ver
Grok_T_0.7.json:211,CLI.C.574324080,blind_T#r0,,13,18915.82,18915.82,False,18915.82  The court supports proven actual expenditures for medical expenses (83
Grok_T_0.7.json:329,CLI.C.575194777,G1_2x_T#r1,G1,13,8835.0,8835.0,False,8835  The supported amount is calculated strictly from the verified facts and ap
Grok_T_0.7.json:348,CLI.C.573962260,G4_2x_T#r0,G4,13,30558.0,30558.0,False,30558  The case involves a determination of reasonable compensation for personal
Grok_T_0.7.json:395,CLI.C.568896011,GN_2x_T#r0,GN,13,19298.57,19298.57,False,19298.57  The court awards compensation strictly on the basis of proven actual l
Grok_T_0.7.json:608,CLI.C.569614162,G1_2x_T#r2,G1,13,22089.0,22089.0,False,22089  The court supports medical expenses of 4408 yuan (the amount actually pro
Grok_T_0.7.json:758,CLI.C.573980528,GL5_0.5x_T#r2,GL5,13,3554.0,3554.0,False,3554  The case involves mutual combat with administrative sanctions issued again
Grok_T_0.7.json:797,CLI.C.573980528,G4_0.5x_T#r0,G4,13,3554.0,3554.0,False,3554  The case involves mutual intentional tort (affray) between two parties bot
Grok_T_0.7.json:812,CLI.C.573980528,E1_2x_T#r1,E1,13,14216.0,14216.0,False,14216  The calculation of supported damages follows standard Chinese personal in
Grok_T_0.7.json:815,CLI.C.573980528,G1_2x_T#r2,G1,13,14216.0,14216.0,False,"14216  The calculation of reasonable, evidence-based damages follows directly fr"
Grok_T_0.7.json:869,CLI.C.573732498,G4_0.5x_T#r0,G4,13,10398.0,10398.0,False,10398  The case materials document specific out-of-pocket medical and related ex
Grok_T_0.7.json:909,CLI.C.575609784,E1_2x_T#r2,E1,13,2651.0,2651.0,False,2651  The court findings establish only two categories of compensable loss with 
Grok_T_0.7.json:988,CLI.C.574123445,GN_0.5x_T#r2,GN,13,7574.86,7574.86,False,7574.86  The court awards compensation strictly on the basis of the documented l
Grok_T_0.7.json:1000,CLI.C.574123445,G4_2x_T#r2,G4,13,12329.0,12329.0,False,12329  The case involves an intentional tort (assault) resulting in minor injury
Grok_T_0.7.json:1003,CLI.C.576560077,E1_0.5x_T#r0,E1,13,4280.0,4280.0,False,4280  The case involves tort liability for minor assault injuries (soft tissue c
Grok_T_0.7.json:1005,CLI.C.574123445,GN_0.5x_T#r0,GN,13,7574.86,7574.86,False,"7574.86  The court awards compensation strictly limited to the documented, causa"
Grok_T_0.7.json:1065,CLI.C.574123445,E1_2x_T#r0,E1,13,9184.07,9184.07,False,9184.07  The case materials establish the following recoverable losses caused by
Grok_T_0.7.json:1089,CLI.C.574123445,blind_T#r1,,13,7574.86,7574.86,False,"7574.86  The court awards compensation strictly on the basis of the facts found,"
Grok_T_0.json:42,CLI.C.568896011,GL5_0.5x_T,GL5,13,8139.0,8139.0,False,"8139  The court supports compensation strictly limited to proven, causally relat"
Grok_T_0.json:245,CLI.C.576560077,G1_0.5x_T,G1,13,4280.0,4280.0,False,4280  The court should award compensation strictly limited to the amounts suppor
Grok_T_0.json:274,CLI.C.576163397,E1_0.5x_T,E1,13,123385.0,123385.0,False,123385  The case involves standard Chinese tort liability for personal injury wi
Grok_T_0.json:297,CLI.C.576163397,GL5_0.5x_T,GL5,13,123385.0,123385.0,False,123385  The amount is determined by applying standard personal-injury compensati
Grok_T_0.json:305,CLI.C.576298704,G5_0.5x_T,G5,13,2162.0,2162.0,False,"2162  The case involves a verbal insult constituting infringement, with establis"
Grok_T_0.7.json:46,CLI.C.576298704,G5_0.5x_T#r0,G5,12,2162.0,2162.0,False,"2162   The case involves an admitted verbal insult by the defendant, sanctioned "
Grok_T_0.7.json:63,CLI.C.576298704,E1_2x_T#r1,E1,12,8646.0,8646.0,False,8646  The case involves a minor verbal insult constituting infringement of perso
Grok_T_0.7.json:82,CLI.C.576284674,G5_0.5x_T#r1,G5,12,7353.0,7353.0,False,"7353  The case involves minor injury tort liability with disputed causation, nec"
Grok_T_0.7.json:87,CLI.C.576298704,G4_2x_T#r2,G4,12,8646.0,8646.0,False,8646  The case involves a minor verbal insult constituting infringement of perso
Grok_T_0.7.json:88,CLI.C.576284674,E1_0.5x_T#r2,E1,12,7353.0,7353.0,False,7353  The case involves a minor injury tort claim governed by PRC Tort Liability
Grok_T_0.7.json:111,CLI.C.576284674,G1_2x_T#r0,G1,12,16677.0,16677.0,False,16677  The court finds defendant fully liable based on the established facts of 
Grok_T_0.7.json:138,CLI.C.574100275,GL5_2x_T#r0,GL5,12,14478.0,14478.0,False,"14478  The court ascertains an intentional assault constituting minor injury, wi"
Grok_T_0.7.json:232,CLI.C.574324080,G1_0.5x_T#r2,G1,12,5716.0,5716.0,False,5716  The material shows that the plaintiff's claimed lost wages of 33 500 yuan 
Grok_T_0.7.json:247,CLI.C.575194777,GL5_2x_T#r0,GL5,12,12270.0,12270.0,False,12270  The calculation of damages follows standard Chinese tort compensation pri
Grok_T_0.7.json:275,CLI.C.575194777,G4_0.5x_T#r1,G4,12,3068.0,3068.0,False,3068  The calculation of supported damages follows standard principles under Chi
Grok_T_0.7.json:378,CLI.C.568896011,G1_2x_T#r1,G1,12,16559.0,16559.0,False,16559  The court awards compensation strictly based on proven losses and support
Grok_T_0.7.json:403,CLI.C.573962260,G1_2x_T#r0,G1,12,30558.0,30558.0,False,30558  The case involves a claim for personal injury compensation arising from a
Grok_T_0.7.json:517,CLI.C.569614162,G4_2x_T#r2,G4,12,22089.0,22089.0,False,22089  The court record establishes liability for the defendant's battery result
Grok_T_0.7.json:556,CLI.C.574502602,GL5_0.5x_T#r2,GL5,12,7388.0,7388.0,False,"7388  The court should award compensation strictly limited to proven, causally r"
Grok_T_0.7.json:638,CLI.C.574839658,G1_0.5x_T#r2,G1,12,9091.0,9091.0,False,9091  The incident involved a minor finger dislocation injury from a brief alter
Grok_T_0.7.json:791,CLI.C.573980528,G4_0.5x_T#r2,G4,12,3554.0,3554.0,False,3554  The case involves mutual assault with administrative penalties assigned to
Grok_T_0.7.json:796,CLI.C.573980528,G1_2x_T#r1,G1,12,14216.0,14216.0,False,14216  The calculation of supported compensation begins with plaintiff's documen
Grok_T_0.7.json:827,CLI.C.573732498,G5_0.5x_T#r2,G5,12,10398.0,10398.0,False,10398   The case materials establish liability for battery causing burn injuries
Grok_T_0.7.json:882,CLI.C.573732498,blind_T#r1,,12,3057.05,3057.05,False,3057.05  The court awards compensation strictly for proven out-of-pocket losses 
Grok_T_0.7.json:941,CLI.C.576560077,GL5_0.5x_T#r2,GL5,12,4280.0,4280.0,False,4280  The court record establishes defendant liability via the administrative pe
Grok_T_0.7.json:962,CLI.C.575609784,G1_2x_T#r2,G1,12,2365.0,2365.0,False,2365  The documented and proven economic losses consist solely of the medical ex
Grok_T_0.7.json:972,CLI.C.576560077,GL5_0.5x_T#r1,GL5,12,4280.0,4280.0,False,4280  The case materials establish liability through the administrative penalty 
Grok_T_0.7.json:1013,CLI.C.575609784,G1_0.5x_T#r0,G1,12,2365.06,2365.06,False,"2365.06  The court findings establish two categories of documented, causally rel"
Grok_T_0.7.json:1066,CLI.C.574828493,GL5_2x_T#r1,GL5,12,41010.0,41010.0,False,41010  The case is a civil tort action for personal injury arising from the alte
Grok_T_0.7.json:1068,CLI.C.574828493,GL5_2x_T#r2,GL5,12,41010.0,41010.0,False,41010  The case materials establish defendant liability in tort for the plaintif
Grok_T_0.7.json:1073,CLI.C.574123445,blind_T#r2,,12,9184.07,9184.07,False,"9184.07  The court materials establish defendant's sole fault for the assault, a"
Grok_T_0.7.json:1081,CLI.C.574828493,G4_2x_T#r2,G4,12,41010.0,41010.0,False,41010  The materials establish that the defendant bears tort liability for the p
Grok_T_0.7.json:1099,CLI.C.576163397,G4_2x_T#r2,G4,12,493540.0,493540.0,False,493540  The materials establish defendant's liability for plaintiff's personal i
Grok_T_0.7.json:1113,CLI.C.576163397,GL5_2x_T#r1,GL5,12,493540.0,493540.0,False,493540  The calculation of damages proceeds from the documented losses and statu
Grok_T_0.json:24,CLI.C.573962260,blind_T,,12,26190.0,26190.0,False,"26190  The court awards compensation only for proven, reasonable, and actually i"
Grok_T_0.json:210,CLI.C.573732498,E1_2x_T,E1,12,41590.0,41590.0,False,41590  The case involves clear tort liability for personal injury caused by the 
Grok_T_0.json:232,CLI.C.575609784,G5_2x_T,G5,12,2651.0,2651.0,False,2651  The case involves a minor personal injury tort arising from an assault (ne
Grok_T_0.json:242,CLI.C.573980528,GN_2x_T,GN,12,15247.0,15247.0,False,15247  The court supports the following proven and calculable items based on the
Grok_T_0.json:282,CLI.C.574828493,E1_2x_T,E1,12,41010.0,41010.0,False,41010  The case involves tort liability for personal injury arising from the def
Grok_T_0.json:329,CLI.C.576163397,GL5_2x_T,GL5,12,493540.0,493540.0,False,493540  The case involves standard personal-injury compensation items under Chin
Grok_T_0.json:367,CLI.C.574324080,G1_0.5x_T,G1,12,5716.0,5716.0,False,5716  The court findings establish actual medical costs of 8405.82 yuan (8285.82
Grok_T_0.7.json:16,CLI.C.567792565,G5_2x_T#r0,G5,11,15616.0,15616.0,False,15616  The case materials establish liability for intentional assault causing pe
Grok_T_0.7.json:91,CLI.C.576284674,G5_2x_T#r2,G5,11,29411.0,29411.0,False,29411  The court record establishes defendant liability via administrative penal
Grok_T_0.7.json:98,CLI.C.576284674,G5_2x_T#r1,G5,11,29411.0,29411.0,False,29411  The materials establish liability for the defendant's tortious act result
Grok_T_0.7.json:110,CLI.C.576284674,blind_T#r2,,11,16676.72,16676.72,False,"16676.72  The court determines liability in full on the defendant, as the push d"
Grok_T_0.7.json:137,CLI.C.574100275,G1_0.5x_T#r1,G1,11,3619.0,3619.0,False,3619  The court supports only those heads of loss for which both causation and q
Grok_T_0.7.json:191,CLI.C.574324080,E1_2x_T#r1,E1,11,22863.0,22863.0,False,22863  The calculation begins from the proven economic losses. Medical expenses 
Grok_T_0.7.json:271,CLI.C.573962260,GL5_0.5x_T#r1,GL5,11,7640.0,7640.0,False,7640  The final award is determined by applying standard principles of tort comp
Grok_T_0.7.json:292,CLI.C.575194777,GN_2x_T#r2,GN,11,9161.0,9161.0,False,9161  The court supports compensation for tort liability arising from the assaul
Grok_T_0.7.json:300,CLI.C.575194777,GN_2x_T#r1,GN,11,8834.9,8834.9,False,8834.9  The supported compensation is calculated strictly from the established f
Grok_T_0.7.json:311,CLI.C.568896011,blind_T#r2,,11,17128.5,17128.5,False,17128.5  The court awards compensation for all claimed heads of loss with the si
Grok_T_0.7.json:338,CLI.C.575194777,GN_0.5x_T#r2,GN,11,9161.0,9161.0,False,9161  The incident constitutes a civil tort of intentional assault for which the
Grok_T_0.7.json:462,CLI.C.573503630,G5_2x_T#r2,G5,11,25008.0,25008.0,False,25008  The case involves a single incident of tortious liability under Chinese p
Grok_T_0.7.json:472,CLI.C.575194777,GN_0.5x_T#r0,GN,11,8835.0,8835.0,False,8835  The court supports compensation calculated strictly from the established f
Grok_T_0.7.json:487,CLI.C.573503630,E1_2x_T#r1,E1,11,25008.0,25008.0,False,25008  The amount supported follows directly from the evidentiary record and app
Grok_T_0.7.json:531,CLI.C.569614162,G4_2x_T#r1,G4,11,22089.0,22089.0,False,22089  The case involves a tort claim for minor personal injury (轻微伤) arising fr
Grok_T_0.7.json:611,CLI.C.573503630,blind_T#r0,,11,25339.0,25339.0,False,25339  The court finds the defendant liable in tort for the plaintiff's L1 compr
Grok_T_0.7.json:644,CLI.C.574502602,E1_2x_T#r1,E1,11,29553.0,29553.0,False,29553  The calculation of compensable damages proceeds from the established fact
Grok_T_0.7.json:779,CLI.C.573980528,G4_2x_T#r1,G4,11,14216.0,14216.0,False,14216  The case involves a mutual altercation resulting in the plaintiff's minor
Grok_T_0.7.json:816,CLI.C.576162472,GL5_0.5x_T#r2,GL5,11,1939.0,1939.0,False,1939  The court's determination of supportable damages is guided by the evidenti
Grok_T_0.7.json:833,CLI.C.573980528,blind_T#r0,,11,16634.61,16634.61,False,"16634.61  The court determines liability for plaintiff's reasonable, documented "
Grok_T_0.7.json:858,CLI.C.573732498,E1_2x_T#r1,E1,11,41590.0,41590.0,False,41590  The case involves a clear intentional tort resulting in burn injuries. Al
Grok_T_0.7.json:887,CLI.C.573732498,E1_0.5x_T#r2,E1,11,10398.0,10398.0,False,"10398  The materials establish liability for burns under tort principles, with a"
Grok_T_0.7.json:917,CLI.C.574123445,E1_2x_T#r1,E1,11,12329.0,12329.0,False,12329  The case involves a tort claim for minor personal injury arising from an 
Grok_T_0.7.json:924,CLI.C.575609784,E1_2x_T#r0,E1,11,2651.0,2651.0,False,"2651  The court records establish the following proven, causally related losses "
Grok_T_0.7.json:937,CLI.C.575609784,blind_T#r2,,11,2365.06,2365.06,False,2365.06  The court awards only those items of loss for which documentary evidenc
Grok_T_0.7.json:939,CLI.C.575609784,blind_T#r0,,11,2365.06,2365.06,False,2365.06  The court-verified expenses consist solely of documented medical costs 
Grok_T_0.7.json:969,CLI.C.576560077,G5_2x_T#r0,G5,11,17119.0,17119.0,False,17119  The case materials establish liability through the administrative penalty
Grok_T_0.7.json:986,CLI.C.576560077,GL5_2x_T#r2,GL5,11,17119.0,17119.0,False,17119  The court supports documented medical expenses of 7625 yuan (1501 + 5818.
Grok_T_0.7.json:1030,CLI.C.576560077,E1_0.5x_T#r1,E1,11,4280.0,4280.0,False,4280  The case involves a minor intentional tort resulting in documented soft-ti
Grok_T_0.7.json:1031,CLI.C.574123445,blind_T#r0,,11,7574.86,7574.86,False,7574.86  The court awards compensation based strictly on the documented facts an
Grok_T_0.7.json:1035,CLI.C.574655575,E1_2x_T#r2,E1,11,8949.0,8949.0,False,8949  The case involves tort liability for minor personal injury (轻微伤) arising f
Grok_T_0.7.json:1039,CLI.C.575609784,G1_0.5x_T#r1,G1,11,2365.06,2365.06,False,"2365.06  The findings establish two categories of documented, causally related e"
Grok_T_0.7.json:1085,CLI.C.574828493,G1_2x_T#r2,G1,11,41010.0,41010.0,False,41010  The case involves tort liability for personal injury arising from the def
Grok_T_0.7.json:1094,CLI.C.574828493,GN_2x_T#r2,GN,11,41010.0,41010.0,False,41010  The case materials establish civil tort liability for the fracture sustai
Grok_T_0.7.json:1095,CLI.C.567792565,GL5_0.5x_T#r0,GL5,11,3904.0,3904.0,False,3904  The medical expenses total exactly the sum of documented payments (5585.14
Grok_T_0.7.json:1097,CLI.C.576163397,G5_0.5x_T#r0,G5,11,123385.0,123385.0,False,123385   The case facts establish clear contributory negligence by the plaintiff
Grok_T_0.7.json:1111,CLI.C.567792565,GL5_2x_T#r1,GL5,11,15616.0,15616.0,False,15616  The court must base its award strictly on proven facts and evidence rathe
Grok_T_0.json:22,CLI.C.568896011,blind_T,,11,17128.5,17128.5,False,"17128.5  The court supports all claimed heads of loss except lost earnings, whic"
Grok_T_0.json:113,CLI.C.574502602,G5_2x_T,G5,11,29553.0,29553.0,False,29553  The case involves a straightforward tort claim for minor injuries (轻微伤) a
Grok_T_0.json:118,CLI.C.574502602,G4_2x_T,G4,11,29553.0,29553.0,False,29553  The case involves a civil claim for damages arising from a minor assault 
Grok_T_0.json:199,CLI.C.573732498,G4_0.5x_T,G4,11,10398.0,10398.0,False,"10398  The case materials establish liability for battery causing burn injuries,"
Grok_T_0.json:221,CLI.C.575609784,blind_T,,11,2365.06,2365.06,False,2365.06  The court-verified facts establish only two categories of compensable e
Grok_T_0.json:229,CLI.C.573980528,blind_T,,11,16634.61,16634.61,False,16634.61  The court determines liability based on the evidence of mutual assault
Grok_T_0.json:252,CLI.C.574828493,GL5_0.5x_T,GL5,11,10253.0,10253.0,False,10253  The case involves a personal injury tort arising from the defendant's agg
Grok_T_0.json:258,CLI.C.574828493,GL5_2x_T,GL5,11,41010.0,41010.0,False,41010  The case involves tort liability for personal injury arising from an alte
Grok_T_0.json:263,CLI.C.575609784,G1_2x_T,G1,11,2365.0,2365.0,False,2365  The documented and proven economic losses consist solely of the medical ex
Grok_T_0.json:299,CLI.C.574504175,G5_0.5x_T,G5,11,3158.0,3158.0,False,3158  The case involves a straightforward personal-injury tort arising from an a
Grok_T_0.json:316,CLI.C.576298704,E1_2x_T,E1,11,8646.0,8646.0,False,8646  The case involves a claim for damages arising from a verbal insult (admini
Grok_T_0.json:336,CLI.C.574123445,blind_T,,11,6802.21,6802.21,False,6802.21  The court supports compensation strictly for the documented out-of-pock
Grok_T_0.json:338,CLI.C.574100275,G4_0.5x_T,G4,11,3619.0,3619.0,False,3619  The case involves a minor personal injury tort arising from an assault. Th
Grok_T_0.json:351,CLI.C.574324080,G5_2x_T,G5,11,22863.0,22863.0,False,22863  The court supports compensation based on verified actual losses and reaso
Grok_T_0.json:362,CLI.C.576284674,E1_2x_T,E1,11,16676.72,16676.72,False,16676.72  The court supports only those heads of loss that are both factually pr
Grok_T_0.json:372,CLI.C.576284674,G1_0.5x_T,G1,11,14491.0,14491.0,False,"14491  The court supports compensation strictly on the basis of proven, causally"
Grok_T_0.json:373,CLI.C.574324080,G4_2x_T,G4,11,22863.0,22863.0,False,22863  The amount to be awarded is determined by applying standard principles of
Grok_T_0.json:378,CLI.C.568732810,G4_2x_T,G4,11,9064.0,9064.0,False,9064  The case involves mutual fault in a minor assault leading to 11 days of ho
Grok_T_0.7.json:18,CLI.C.567792565,G5_2x_T#r1,G5,10,15616.0,15616.0,False,"15616  The court records establish actual, documented medical expenses totaling "
Grok_T_0.7.json:24,CLI.C.574504175,GN_2x_T#r1,GN,10,11101.0,11101.0,False,11101   The case involves an established intentional tort (assault) resulting in
Grok_T_0.7.json:30,CLI.C.574504175,G1_2x_T#r1,G1,10,11101.0,11101.0,False,11101   The evidence establishes full liability on the defendant for an intentio
Grok_T_0.7.json:60,CLI.C.576298704,GL5_2x_T#r1,GL5,10,8646.0,8646.0,False,8646   The case involves a claim for damages arising from a verbal insult that a
Grok_T_0.7.json:65,CLI.C.576298704,E1_2x_T#r2,E1,10,8646.0,8646.0,False,"8646  The case involves civil tort liability for verbal insult, with damages cla"
Grok_T_0.7.json:69,CLI.C.576298704,G4_2x_T#r1,G4,10,8646.0,8646.0,False,8646  The incident constitutes a minor verbal insult (administrative fine of 200
Grok_T_0.7.json:92,CLI.C.576284674,GN_0.5x_T#r2,GN,10,16676.72,16676.72,False,16676.72  The compensation amount is calculated strictly from the documented and
Grok_T_0.7.json:141,CLI.C.576284674,G1_2x_T#r2,G1,10,16609.72,16609.72,False,16609.72  The court findings establish proven medical expenses of exactly 11335.
Grok_T_0.7.json:221,CLI.C.568732810,blind_T#r2,,10,18349.0,18349.0,False,"18349  The incident involved mutual fault, as established by administrative pena"
Grok_T_0.7.json:268,CLI.C.575194777,blind_T#r2,,10,8834.91,8834.91,False,8834.91  The court supports tort liability for the intentional assault causing m
Grok_T_0.7.json:280,CLI.C.568896011,GL5_0.5x_T#r0,GL5,10,8139.0,8139.0,False,8139  The amount to be awarded is determined by applying standard Chinese person
Grok_T_0.7.json:283,CLI.C.568896011,E1_0.5x_T#r0,E1,10,8139.0,8139.0,False,8139  The amount to be awarded is limited to those heads of loss that are suppor
Grok_T_0.7.json:307,CLI.C.575194777,G1_2x_T#r0,G1,10,8834.91,8834.91,False,8834.91  The proper compensation is calculated strictly from the facts found by 
Grok_T_0.7.json:354,CLI.C.575325734,GL5_2x_T#r2,GL5,10,2552.0,2552.0,False,2552   The amount is determined by applying standard principles of tort liabilit
Grok_T_0.7.json:355,CLI.C.569302802,G4_0.5x_T#r0,G4,10,576.0,576.0,False,576  The court record establishes that the plaintiff initiated physical contact 
Grok_T_0.7.json:457,CLI.C.568922908,GL5_0.5x_T#r0,GL5,10,1035.0,1035.0,False,1035  The court should award compensation limited to documented and causally rel
Grok_T_0.7.json:465,CLI.C.573503630,G4_2x_T#r2,G4,10,25008.0,25008.0,False,25008  The case involves ordinary tort liability arising from a fall on an escal
